all_ribbon_errors,ribbon,id,no_switch_ribbon_errors,country,all_cmap_errors,no_switch_cmap_errors,cmap,switched_cmap_errors,switched_ribbon_errors,all_ribbon_time,all_cmap_time,session,gender,no_switch_cmap_time,switched_ribbon_time,mouse,age,switched_cmap_time,no_switch_ribbon_time
0,3,1,0,United States of America,1,1,1,0,0,2218.25,2109.405405,2,male,2397.761905,2834.6,trackpad,21,1730.9375,1981.192308
0,3,2,0,United States of America,0,0,1,0,0,1907.277778,2853.027778,3,male,2686.03125,1485.5,trackpad,21,4189,2027.785714
0,3,3,0,United States of America,0,0,3,0,0,4615.25,4255.444444,4,male,4464.787879,4812.266667,trackpad,21,1952.666667,4474.52381
0,3,4,0,United States of America,0,0,2,0,0,2703.833333,3786.611111,5,male,4032.727273,3123.066667,trackpad,20,1079.333333,2404.380952
0,1,5,0,United States of America,0,0,2,0,0,2499.527778,2839.944444,6,male,2967.242424,3594.833333,trackpad,19,1439.666667,1951.875
0,4,6,0,United States of America,0,0,2,0,0,2825.5,3122.416667,7,male,2774.611111,3345.705882,trackpad,20,3470.222222,2360.052632
1,3,7,0,United States of America,0,0,3,0,1,3530.378378,2237.222222,8,female,3155,3292.571429,trackpad,21,1503,3675.130435
0,2,8,0,United States of America,0,0,2,0,0,2233.75,2249.75,10,male,2401.28,1888.857143,mouse,21,1905.363636,2453.227273
0,3,9,0,United States of America,0,0,2,0,0,2915.805556,3554.222222,11,female,3561.931034,2967.928571,trackpad,20,3522.285714,2882.636364
1,3,11,0,United States of America,1,1,3,0,1,3552.621622,6810.702703,12,male,6112.84375,3100.125,trackpad,23,11277,3897.380952
1,3,10,0,United States of America,2,0,2,2,1,1927.027027,2344.631579,13,male,2324.925926,1487.727273,mouse,20,2393,2112.884615
0,1,12,0,United States of America,0,0,1,0,0,2528.694444,2899.944444,14,male,2982.375,1899,trackpad,20,2240.5,2565.735294
0,5,13,0,United States of America,0,0,1,0,0,2824.277778,3919.416667,15,male,4543.73913,2962.5,other,21,2814.846154,2755.166667
0,4,14,0,Phillipines,0,0,2,0,0,2501.472222,2402.111111,17,male,2830.666667,1611.7,trackpad,20,1802.133333,2843.692308
0,1,15,0,United States of America,1,1,1,0,0,2662.638889,2901.540541,18,female,2902.6875,3066.875,trackpad,21,2894.2,2547.142857
0,2,16,0,United States of America,0,0,3,0,0,2802.694444,2215.166667,19,male,2519.652174,3567.142857,trackpad,21,1676.461538,2316.227273
0,3,17,0,United States of America,1,0,1,1,0,2701.166667,3588.324324,20,male,3004.863636,3911.8,trackpad,20,4444.066667,2235.538462
Mean time,,,,,,,,,,2761.774466,3181.757784,,,3274.301568,2879.541166,,,2960.863731,2675.563113
